node,tech,scale,count
2,10,1,2
2,23,1,1
3,1,1,3
3,2,1,2
3,15,1,1
4,10,1,2
4,23,1,1
5,1,2,1
6,1,1,2
6,14,1,1
9,1,1,2
9,1,2,1
9,14,2,1
10,1,2,1
10,10,1,1
10,14,2,1
13,1,3,1
13,14,3,1
14,1,3,1
14,14,3,1
16,10,1,1
17,1,1,2
17,1,2,1
17,2,1,1
17,14,2,1
17,15,1,1
18,1,1,2
18,14,1,1
19,10,1,1
20,1,1,2
20,1,2,1
20,14,2,1
21,10,2,1
21,23,2,1
22,1,2,1
22,2,1,2
22,14,2,1
22,15,1,1
23,1,2,1
24,1,2,1
25,1,2,1
25,14,2,1
26,10,1,1
27,1,2,1
27,14,1,1
28,1,1,2
28,1,2,1
28,14,2,1
29,1,1,1
30,1,1,2
31,1,2,1
31,14,2,1
32,1,1,1
33,1,2,1
34,10,1,1
35,10,1,2
35,23,1,1
37,1,2,1
37,2,1,2
37,10,1,2
37,14,2,1
37,15,1,1
38,10,1,1
39,1,1,1
42,1,1,3
42,14,2,1
43,1,1,1
43,10,1,1
44,10,1,1
45,1,2,1
45,14,2,1
46,1,1,1
47,1,1,1
48,1,2,1
48,14,2,1
49,1,2,1
49,14,2,1
50,1,1,2
51,10,1,2
51,23,1,1
52,1,1,3
52,14,1,1
53,1,1,1
54,1,1,2
54,1,2,1
54,14,2,1
55,10,1,1
56,1,1,2
56,1,2,1
56,2,1,1
56,14,2,1
57,1,1,2
58,10,1,2
58,23,1,1
59,1,2,1
59,14,2,1
60,1,2,1
60,14,2,1
61,10,1,2
61,23,1,1
62,1,1,3
62,14,1,1
63,1,1,1
64,10,1,1
65,1,2,1
65,14,2,1
66,10,1,1
68,1,1,1
69,1,1,1
70,1,2,1
70,14,1,2
71,1,1,2
72,1,1,2
72,14,1,1
