"source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"CENSUS","CROPS","VEGETABLES","POTATOES","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","005","005","BARRON","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, BARRON","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000"," (D)","(D)"
"CENSUS","CROPS","VEGETABLES","POTATOES","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","007","007","BAYFIELD","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, BAYFIELD","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","4","5.6"
"CENSUS","CROPS","VEGETABLES","POTATOES","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","017","017","CHIPPEWA","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, CHIPPEWA","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","3","5.6"
"CENSUS","CROPS","VEGETABLES","POTATOES","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","031","031","DOUGLAS","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, DOUGLAS","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000"," (D)","(D)"
"CENSUS","CROPS","VEGETABLES","POTATOES","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","095","095","POLK","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, POLK","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","3","5.6"
"CENSUS","CROPS","VEGETABLES","POTATOES","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","107","107","RUSK","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, RUSK","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000"," (D)","(D)"
"CENSUS","CROPS","VEGETABLES","POTATOES","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","129","129","WASHBURN","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, WASHBURN","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","6","5.6"
"CENSUS","CROPS","VEGETABLES","POTATOES","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","20","NORTH CENTRAL","003","003","ASHLAND","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTH CENTRAL, ASHLAND","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","5","5.6"
"CENSUS","CROPS","VEGETABLES","POTATOES","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","20","NORTH CENTRAL","019","019","CLARK","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTH CENTRAL, CLARK","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","11","5.6"
"CENSUS","CROPS","VEGETABLES","POTATOES","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","20","NORTH CENTRAL","051","051","IRON","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTH CENTRAL, IRON","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000"," (D)","(D)"
