"source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","005","005","BARRON","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, BARRON","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","3,757","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","007","007","BAYFIELD","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, BAYFIELD","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","1,422","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","013","013","BURNETT","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, BURNETT","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","144","(L)"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","017","017","CHIPPEWA","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, CHIPPEWA","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","1,731","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","095","095","POLK","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, POLK","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","456","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","107","107","RUSK","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, RUSK","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","406","(L)"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","113","113","SAWYER","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, SAWYER","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000"," (D)","(D)"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","10","NORTHWEST","129","129","WASHBURN","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHWEST, WASHBURN","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","179","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","20","NORTH CENTRAL","019","019","CLARK","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTH CENTRAL, CLARK","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","4,044","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","20","NORTH CENTRAL","051","051","IRON","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTH CENTRAL, IRON","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000"," (D)","(D)"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","20","NORTH CENTRAL","069","069","LINCOLN","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTH CENTRAL, LINCOLN","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","333","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","20","NORTH CENTRAL","073","073","MARATHON","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTH CENTRAL, MARATHON","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","4,348","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","20","NORTH CENTRAL","099","099","PRICE","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTH CENTRAL, PRICE","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000"," (D)","(D)"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","20","NORTH CENTRAL","119","119","TAYLOR","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTH CENTRAL, TAYLOR","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","465","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","30","NORTHEAST","041","041","FOREST","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHEAST, FOREST","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000"," (D)","(D)"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","30","NORTHEAST","067","067","LANGLADE","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHEAST, LANGLADE","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","2,684","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","30","NORTHEAST","075","075","MARINETTE","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHEAST, MARINETTE","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","2,199","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","30","NORTHEAST","083","083","OCONTO","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHEAST, OCONTO","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","4,718","16.0"
"CENSUS","CROPS","FIELD CROPS","WHEAT","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","COUNTY","55","55","WI","WISCONSIN","30","NORTHEAST","115","115","SHAWANO","","","00000000","","","9000","UNITED STATES","WISCONSIN, NORTHEAST, SHAWANO","2022","ANNUAL","00","00","YEAR","","2024-07-02 12:00:00.000","4,111","16.0"
